From,2020-06-01 23:31:32.042777,To,2020-07-01 23:31:32.042811,Match_type,Match Rate,Count per match_type,filters,MatchRequirement Ratio,Count,MatchRequirements,Top 5 MatchRequirement,Count per MatchRequirements,APIMinimumMatch,MinimumMatch breakdown,Count per MinimumMatch,Fields,Fill Rate,match_type.,filters,Count,filters,Count,filters,Count,filters,Count,,,,,,,,,,,,,,,,,,,,,,,
5753#US,All,,59229399,NoMatch,5.1%,3013903,,,,,,,,,,phones,92.5%,NoMatch,with phones,1229429,with emails,0,with social_profiles,786999,with jobs,558641,with educations,266412,with addresses,1529514,with dobs,421832,,,,,,,,,,,,,,,,,
,"Names, Addresses, DOB, Phones",19.2003991126%,11372281,SingleMatch,94.0%,55668205,,,,,,,,,,emails,84.9%,NoMatch,without phones,1784474,without emails,3013903,without social_profiles,2226904,without jobs,2455262,without educations,2747491,without addresses,1484389,without dobs,2592071,,,,,,,,,,,,,,,,,
,"Names, Addresses, DOB",15.8860349064%,9409203,MultipleMatch,0.9%,538587,,,,,,,,,,social_profiles,44.2%,PerfectMatch,with phones,51474397,with emails,47279614,with social_profiles,24599707,with jobs,21585721,with educations,8599163,with addresses,55627155,with dobs,42123366,,,,,,,,,,,,,,,,,
,"Names, Addresses, DOB, Phone",13.8824555691%,8222495,,,,,,,,,,,,,jobs,38.8%,PerfectMatch,without phones,4193808,without emails,8388591,without social_profiles,31068498,without jobs,34082484,without educations,47069042,without addresses,41050,without dobs,13544839,,,,,,,,,,,,,,,,,
,"Name, Addresses, DOB",11.2252717607%,6648661,,,,,,,,,,,,,educations,15.4%,PossibleMatch,with phones,344857,with emails,0,with social_profiles,213477,with jobs,178662,with educations,86549,with addresses,369424,with dobs,264767,,,,,,,,,,,,,,,,,
,"Name, Addresses, DOB, Phone",6.59192405447%,3904357,,,,,,,,,,,,,addresses,99.9%,PossibleMatch,without phones,193730,without emails,538587,without social_profiles,325110,without jobs,359925,without educations,452038,without addresses,169163,without dobs,273820,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,dobs,75.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
