From,2020-05-01 23:16:08.229463,To,2020-06-01 23:16:08.229498,Match_type,Match Rate,Count per match_type,filters,MatchRequirement Ratio,Count,MatchRequirements,Top 5 MatchRequirement,Count per MatchRequirements,APIMinimumMatch,MinimumMatch breakdown,Count per MinimumMatch,Fields,Fill Rate,match_type.,filters,Count,filters,Count,filters,Count,filters,Count,,,,,,,,,,,,,,,,,,,,,,,
5753#US,All,,55160874,NoMatch,6.4%,3538839,,,,,,,,,,phones,91.6%,NoMatch,with phones,1593010,with emails,0,with social_profiles,957008,with jobs,682587,with educations,314132,with addresses,1951843,with dobs,478102,,,,,,,,,,,,,,,,,
,"Names, Addresses, DOB, Phones",17.341574392%,9565764,SingleMatch,92.8%,51119783,,,,,,,,,,emails,86.8%,NoMatch,without phones,1945829,without emails,3538839,without social_profiles,2581831,without jobs,2856252,without educations,3224707,without addresses,1586996,without dobs,3060737,,,,,,,,,,,,,,,,,
,"Names, Addresses, DOB",15.123725197%,8342379,MultipleMatch,0.8%,444321,,,,,,,,,,social_profiles,44.9%,PerfectMatch,with phones,46836102,with emails,44376004,with social_profiles,22931208,with jobs,19292406,with educations,7729568,with addresses,51063284,with dobs,33223835,,,,,,,,,,,,,,,,,
,"Names, Addresses, DOB, Phone",13.028673186%,7186730,,,,,,,,,,,,,jobs,37.7%,PerfectMatch,without phones,4283681,without emails,6743779,without social_profiles,28188575,without jobs,31827377,without educations,43390215,without addresses,56499,without dobs,17895948,,,,,,,,,,,,,,,,,
,"Name, Addresses, DOB",11.5841692429%,6389929,,,,,,,,,,,,,educations,15.1%,PossibleMatch,with phones,271194,with emails,0,with social_profiles,174956,with jobs,138202,with educations,68999,with addresses,295892,with dobs,188413,,,,,,,,,,,,,,,,,
,"Name, Addresses, DOB, Phone",6.9273974883%,3821213,,,,,,,,,,,,,addresses,99.9%,PossibleMatch,without phones,173127,without emails,444321,without social_profiles,269365,without jobs,306119,without educations,375322,without addresses,148429,without dobs,255908,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,dobs,65.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,64.0055395061%,35306015.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1821#US,All,,9599011,NoMatch,23.0%,2200392,,,,,,,,,,phones,90.5%,NoMatch,with phones,115872,with emails,0,with social_profiles,107751,with jobs,100021,with educations,78120,with addresses,126289,with dobs,112960,,,,,,,,,,,,,,,,,
,Phone,56.5743908409%,5430582,SingleMatch,57.4%,5500390,,,,,,,,,,emails,72.6%,NoMatch,without phones,2084520,without emails,2200392,without social_profiles,2092641,without jobs,2100371,without educations,2122272,without addresses,2074103,without dobs,2087432,,,,,,,,,,,,,,,,,
