From,2020-11-01 00:49:34.323780,To,2020-12-01 00:49:34.323822,Match_type,Match Rate,Count per match_type,filters,MatchRequirement Ratio,Count,MatchRequirements,Top 5 MatchRequirement,Count per MatchRequirements,APIMinimumMatch,MinimumMatch breakdown,Count per MinimumMatch,Fields,Fill Rate,match_type.,filters,Count,filters,Count,filters,Count,filters,Count,,,,,,,,,,,,,,,,,,,,,,,
5753#US,All,,53611910,NoMatch,4.1%,2176321,,,,,,,,,,phones,92.8%,NoMatch,with phones,1079571,with emails,0,with social_profiles,828926,with jobs,591216,with educations,324247,with addresses,1315409,with dobs,503886,,,,,,,,,,,,,,,,,
,"Names, Addresses, DOB, Phones",20.3819244642%,10927139,SingleMatch,95.0%,50918795,,,,,,,,,,emails,84.9%,NoMatch,without phones,1096750,without emails,2176321,without social_profiles,1347395,without jobs,1585105,without educations,1852074,without addresses,860912,without dobs,1672435,,,,,,,,,,,,,,,,,
,"Names, Addresses, DOB",16.3175290714%,8748139,MultipleMatch,1.0%,512702,,,,,,,,,,social_profiles,49.7%,PerfectMatch,with phones,47242506,with emails,43231521,with social_profiles,25327687,with jobs,21456593,with educations,8725105,with addresses,50883593,with dobs,41980693,,,,,,,,,,,,,,,,,
,"Names, Addresses, DOB, Phone",14.2676617938%,7649166,,,,,,,,,,,,,jobs,42.1%,PerfectMatch,without phones,3676289,without emails,7687274,without social_profiles,25591108,without jobs,29462202,without educations,42193690,without addresses,35202,without dobs,8938102,,,,,,,,,,,,,,,,,
,"Name, Addresses, DOB",12.0550862672%,6462962,,,,,,,,,,,,,educations,17.1%,PossibleMatch,with phones,377361,with emails,0,with social_profiles,261224,with jobs,218551,with educations,114651,with addresses,401392,with dobs,313028,,,,,,,,,,,,,,,,,
,"Name, Addresses, DOB, Phone",5.97825744317%,3205058,,,,,,,,,,,,,addresses,99.9%,PossibleMatch,without phones,135341,without emails,512702,without social_profiles,251478,without jobs,294151,without educations,398051,without addresses,111310,without dobs,199674,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,dobs,82.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,69.0004590398%,36992464.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1821#US,All,,9476018,NoMatch,25.4%,2404980,,,,,,,,,,phones,95.9%,NoMatch,with phones,87441,with emails,0,with social_profiles,85061,with jobs,80258,with educations,65148,with addresses,89507,with dobs,85114,,,,,,,,,,,,,,,,,
,Phone,62.3098436495%,5904492,SingleMatch,53.4%,5060443,,,,,,,,,,emails,73.4%,NoMatch,without phones,2317539,without emails,2404980,without social_profiles,2319919,without jobs,2324722,without educations,2339832,without addresses,2315473,without dobs,2319866,,,,,,,,,,,,,,,,,
,"Names, Addresses, Emails, Phones",13.3490143223%,1264955,MultipleMatch,21.2%,2010046,,,,,,,,,,social_profiles,45.8%,PerfectMatch,with phones,4854804,with emails,3715861,with social_profiles,2315932,with jobs,2343060,with educations,788102,with addresses,5046249,with dobs,3683508,,,,,,,,,,,,,,,,,
,"Names, Addresses, Emails, Phone",4.81462783207%,456235,,,,,,,,,,,,,jobs,46.3%,PerfectMatch,without phones,205639,without emails,1344582,without social_profiles,2744511,without jobs,2717383,without educations,4272341,without addresses,14194,without dobs,1376935,,,,,,,,,,,,,,,,,
