From,2020-09-01 22:21:41.203089,To,2020-10-01 22:21:41.203121,Match_type,Match Rate,Count per match_type,filters,MatchRequirement Ratio,Count,MatchRequirements,Top 5 MatchRequirement,Count per MatchRequirements,APIMinimumMatch,MinimumMatch breakdown,Count per MinimumMatch,Fields,Fill Rate,match_type.,filters,Count,filters,Count,filters,Count,filters,Count,,,,,,,,,,,,,,,,,,,,,,,
53445#US,All,,55245,NoMatch,20.6%,11368,,,,,,,,,,,,NoMatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Phone,55.5597791655%,30694,SingleMatch,52.2%,28808,,,,,,,,,,,,NoMatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Name, Address",18.1953117929%,10052,MultipleMatch,27.2%,15042,,,,,,,,,,,,PerfectMatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Name, Address, Phone",4.18318399855%,2311,,,,,,,,,,,,,,,PerfectMatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Name, Address, Email",1.91510543941%,1058,,,,,,,,,,,,,,,PossibleMatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Name, Address, Email, Phone",1.43723413884%,794,,,,,,,,,,,,,,,PossibleMatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,81.2906145353%,44909.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1592224#US,All,,15260,NoMatch,4.3%,653,,,,,,,,,,,,NoMatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Name, Address",68.9187418087%,10517,SingleMatch,65.1%,9911,,,,,,,,,,,,NoMatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Names, Addresses, DOB, Emails, Phones, UserIDs",1.70380078637%,260,MultipleMatch,30.7%,4670,,,,,,,,,,,,PerfectMatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Names, Addresses, DOB, Emails, Phones, UserID",1.26474442988%,193,,,,,,,,,,,,,,,PerfectMatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Name, Addresses, DOB",1.20576671035%,184,,,,,,,,,,,,,,,PossibleMatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Names, Addresses, DOB, Emails, Phones, UserIDs, Educations, Jobs",0.996068152031%,152,,,,,,,,,,,,,,,PossibleMatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,74.0891218873%,11306.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67989#US,All,,13562,NoMatch,27.1%,3677,,,,,,,,,,,,NoMatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Phone,73.4257484147%,9958,SingleMatch,40.9%,5550,,,,,,,,,,,,NoMatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Address, Phone",12.6898687509%,1721,MultipleMatch,32.0%,4335,,,,,,,,,,,,PerfectMatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Name, Address, Phone",2.71346409084%,368,,,,,,,,,,,,,,,PerfectMatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Address, Username",0.729980828786%,99,,,,,,,,,,,,,,,PossibleMatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Name, Address, Email, Phone",0.693113110161%,94,,,,,,,,,,,,,,,PossibleMatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,90.2521751954%,12240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1327319#US,All,,12201,NoMatch,8.6%,1039,,,,,,,,,,,,NoMatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Name, Address",30.4483239079%,3715,SingleMatch,68.4%,8307,,,,,,,,,,,,NoMatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Phone,24.4078354233%,2978,MultipleMatch,23.0%,2794,,,,,,,,,,,,PerfectMatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Name, Address, Email",5.1471190886%,628,,,,,,,,,,,,,,,PerfectMatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Name, Address, Phone",3.04893041554%,372,,,,,,,,,,,,,,,PossibleMatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Name, Address, Email, Phone",2.3686583067%,289,,,,,,,,,,,,,,,PossibleMatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
