From,2020-10-01 00:33:46.567001,To,2020-11-01 00:33:46.567036,Match_type,Match Rate,Count per match_type,filters,MatchRequirement Ratio,Count,MatchRequirements,Top 5 MatchRequirement,Count per MatchRequirements,APIMinimumMatch,MinimumMatch breakdown,Count per MinimumMatch,Fields,Fill Rate,match_type.,filters,Count,filters,Count,filters,Count,filters,Count,,,,,,,,,,,,,,,,,,,,,,,
5753#US,All,,59006995,NoMatch,4.2%,2449887,,,,,,,,,,phones,92.6%,NoMatch,with phones,1124040,with emails,0,with social_profiles,858232,with jobs,585105,with educations,304889,with addresses,1389479,with dobs,483067,,,,,,,,,,,,,,,,,
,"Names, Addresses, DOB, Phones",20.1234972227%,11874271,SingleMatch,94.9%,55975261,,,,,,,,,,emails,84.5%,NoMatch,without phones,1325847,without emails,2449887,without social_profiles,1591655,without jobs,1864782,without educations,2144998,without addresses,1060408,without dobs,1966820,,,,,,,,,,,,,,,,,
,"Names, Addresses, DOB",16.6211344943%,9807632,MultipleMatch,1.0%,581806,,,,,,,,,,social_profiles,48.4%,PerfectMatch,with phones,51818313,with emails,47324893,with social_profiles,27080598,with jobs,22914494,with educations,9079345,with addresses,55937340,with dobs,45740329,,,,,,,,,,,,,,,,,
,"Names, Addresses, DOB, Phone",14.3258964467%,8453281,,,,,,,,,,,,,jobs,40.9%,PerfectMatch,without phones,4156948,without emails,8650368,without social_profiles,28894663,without jobs,33060767,without educations,46895916,without addresses,37921,without dobs,10234932,,,,,,,,,,,,,,,,,
,"Name, Addresses, DOB",12.0800745742%,7128089,,,,,,,,,,,,,educations,16.2%,PossibleMatch,with phones,402015,with emails,0,with social_profiles,273470,with jobs,226703,with educations,115692,with addresses,429092,with dobs,328016,,,,,,,,,,,,,,,,,
,"Name, Addresses, DOB, Phone",5.93747571792%,3503526,,,,,,,,,,,,,addresses,99.9%,PossibleMatch,without phones,179791,without emails,581806,without social_profiles,308336,without jobs,355103,without educations,466114,without addresses,152714,without dobs,253790,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,dobs,81.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,69.0880784558%,40766799.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1821#US,All,,9249181,NoMatch,23.4%,2167202,,,,,,,,,,phones,95.8%,NoMatch,with phones,90407,with emails,0,with social_profiles,87708,with jobs,83022,with educations,67679,with addresses,92653,with dobs,88205,,,,,,,,,,,,,,,,,
,Phone,59.7855529046%,5529674,SingleMatch,54.9%,5080077,,,,,,,,,,emails,74.6%,NoMatch,without phones,2076795,without emails,2167202,without social_profiles,2079494,without jobs,2084180,without educations,2099523,without addresses,2074549,without dobs,2078997,,,,,,,,,,,,,,,,,
,"Names, Addresses, Emails, Phones",14.1713087894%,1310730,MultipleMatch,21.6%,2001891,,,,,,,,,,social_profiles,45.1%,PerfectMatch,with phones,4864833,with emails,3791337,with social_profiles,2292970,with jobs,2309596,with educations,757870,with addresses,5066623,with dobs,3791924,,,,,,,,,,,,,,,,,
,"Names, Addresses, Emails, Phone",5.09773784295%,471499,,,,,,,,,,,,,jobs,45.5%,PerfectMatch,without phones,215244,without emails,1288740,without social_profiles,2787107,without jobs,2770481,without educations,4322207,without addresses,13454,without dobs,1288153,,,,,,,,,,,,,,,,,
,"Name, Address",3.34304194069%,309204,,,,,,,,,,,,,educations,14.9%,PossibleMatch,with phones,1969901,with emails,0,with social_profiles,1019663,with jobs,949952,with educations,389973,with addresses,1968863,with dobs,1231798,,,,,,,,,,,,,,,,,
,"Names, Addresses, Email, Phones",2.77654853981%,256808,,,,,,,,,,,,,addresses,99.7%,PossibleMatch,without phones,31990,without emails,2001891,without social_profiles,982228,without jobs,1051939,without educations,1611918,without addresses,33028,without dobs,770093,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,dobs,74.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
