From,2020-12-01 19:07:14.002099,To,2021-01-01 19:07:14.002142,Match_type,Match Rate,Count per match_type,filters,MatchRequirement Ratio,Count,MatchRequirements,Top 5 MatchRequirement,Count per MatchRequirements,APIMinimumMatch,MinimumMatch breakdown,Count per MinimumMatch,Fields,Fill Rate,match_type.,filters,Count,filters,Count,filters,Count,filters,Count,,,,,,,,,,,,,,,,,,,,,,,
5753#OverAll,All,,57377042,NoMatch,4.2%,2415284,,,,,,,,,,phones,92.7%,NoMatch,with phones,1161119,with emails,0,with social_profiles,916944,with jobs,652254,with educations,368036,with addresses,1417946,with dobs,574475,,,,,,,,,,,,,,,,,
,"Names, Addresses, DOB, Phones",19.6445540012%,11271464,SingleMatch,94.6%,54233303,,,,,,,,,,emails,84.9%,NoMatch,without phones,1254165,without emails,2415284,without social_profiles,1498340,without jobs,1763030,without educations,2047248,without addresses,997338,without dobs,1840809,,,,,,,,,,,,,,,,,
,"Names, Addresses, DOB",16.0065292317%,9184073,MultipleMatch,1.2%,708112,,,,,,,,,,social_profiles,51.3%,PerfectMatch,with phones,50277356,with emails,46061719,with social_profiles,27810455,with jobs,23334115,with educations,9926852,with addresses,54185860,with dobs,45205617,,,,,,,,,,,,,,,,,
,"Names, Addresses, DOB, Phone",13.8497136189%,7946556,,,,,,,,,,,,,jobs,43.0%,PerfectMatch,without phones,3955947,without emails,8171584,without social_profiles,26422848,without jobs,30899188,without educations,44306451,without addresses,47443,without dobs,9027686,,,,,,,,,,,,,,,,,
,"Name, Addresses, DOB",12.1628054649%,6978658,,,,,,,,,,,,,educations,18.3%,PossibleMatch,with phones,440670,with emails,0,with social_profiles,338990,with jobs,267670,with educations,154840,with addresses,474739,with dobs,374420,,,,,,,,,,,,,,,,,
,"Name, Addresses, DOB, Phone",5.99085432114%,3437375,,,,,,,,,,,,,addresses,99.9%,PossibleMatch,without phones,267442,without emails,708112,without social_profiles,369122,without jobs,440442,without educations,553272,without addresses,233373,without dobs,333692,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,dobs,83.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,67.6544566379%,38818126.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1821#OverAll,All,,10868692,NoMatch,23.8%,2552572,,,,,,,,,,phones,94.4%,NoMatch,with phones,116625,with emails,0,with social_profiles,130083,with jobs,102301,with educations,81424,with addresses,127888,with dobs,110997,,,,,,,,,,,,,,,,,
,Phone,49.9836594873%,5432570,SingleMatch,53.6%,5757225,,,,,,,,,,emails,75.6%,NoMatch,without phones,2435947,without emails,2552572,without social_profiles,2422489,without jobs,2450271,without educations,2471148,without addresses,2424684,without dobs,2441575,,,,,,,,,,,,,,,,,
,"Names, Addresses, Emails, Phones",12.6648358423%,1376502,MultipleMatch,22.6%,2427778,,,,,,,,,,social_profiles,50.3%,PerfectMatch,with phones,5432788,with emails,4350251,with social_profiles,2897995,with jobs,2751147,with educations,1081420,with addresses,5699514,with dobs,4347242,,,,,,,,,,,,,,,,,
,Email,8.81027818251%,957562,,,,,,,,,,,,,jobs,47.8%,PerfectMatch,without phones,324437,without emails,1406974,without social_profiles,2859230,without jobs,3006078,without educations,4675805,without addresses,57711,without dobs,1409983,,,,,,,,,,,,,,,,,
,"Names, Addresses, Emails, Phone",4.5965880715%,499589,,,,,,,,,,,,,educations,18.8%,PossibleMatch,with phones,2268728,with emails,0,with social_profiles,1292690,with jobs,1091284,with educations,495977,with addresses,2349251,with dobs,1456169,,,,,,,,,,,,,,,,,
,Username,3.83408601513%,416715,,,,,,,,,,,,,addresses,99.0%,PossibleMatch,without phones,159050,without emails,2427778,without social_profiles,1135088,without jobs,1336494,without educations,1931801,without addresses,78527,without dobs,971609,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,dobs,75.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,79.8894475987%,8682938.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1171#OverAll,All,,5511119,NoMatch,91.8%,5040829,,,,,,,,,,phones,51.1%,NoMatch,with phones,0,with emails,0,with social_profiles,0,with jobs,0,with educations,0,with addresses,0,with dobs,0,,,,,,,,,,,,,,,,,
,"Name, Address",97.2955038714%,5362071,SingleMatch,8.2%,449542,,,,,,,,,,emails,32.6%,NoMatch,without phones,5040829,without emails,5040829,without social_profiles,5040829,without jobs,5040829,without educations,5040829,without addresses,5040829,without dobs,5040829,,,,,,,,,,,,,,,,,
,"Name, Address, Email, Phone, Job",0.745220707446%,41070,MultipleMatch,0.1%,3608,,,,,,,,,,social_profiles,63.1%,PerfectMatch,with phones,229769,with emails,146584,with social_profiles,283660,with jobs,111865,with educations,71536,with addresses,362088,with dobs,167401,,,,,,,,,,,,,,,,,
,,0.310590281211%,17117,,,,,,,,,,,,,jobs,24.9%,PerfectMatch,without phones,219773,without emails,302958,without social_profiles,165882,without jobs,337677,without educations,378006,without addresses,87454,without dobs,282141,,,,,,,,,,,,,,,,,
