From,2020-11-01 19:04:39.390702,To,2020-12-01 19:04:39.390749,Match_type,Match Rate,Count per match_type,filters,MatchRequirement Ratio,Count,MatchRequirements,Top 5 MatchRequirement,Count per MatchRequirements,APIMinimumMatch,MinimumMatch breakdown,Count per MinimumMatch,Fields,Fill Rate,match_type.,filters,Count,filters,Count,filters,Count,filters,Count,,,,,,,,,,,,,,,,,,,,,,,
5753#OverAll,All,,54024495,NoMatch,4.1%,2227168,,,,,,,,,,phones,92.8%,NoMatch,with phones,1096363,with emails,0,with social_profiles,849230,with jobs,601288,with educations,331302,with addresses,1335988,with dobs,513662,,,,,,,,,,,,,,,,,
,"Names, Addresses, DOB, Phones",20.2262677328%,10927139,SingleMatch,94.5%,50991218,,,,,,,,,,emails,84.9%,NoMatch,without phones,1130805,without emails,2227168,without social_profiles,1377938,without jobs,1625880,without educations,1895866,without addresses,891180,without dobs,1713506,,,,,,,,,,,,,,,,,
,"Names, Addresses, DOB",16.1929121225%,8748139,MultipleMatch,1.4%,733854,,,,,,,,,,social_profiles,49.7%,PerfectMatch,with phones,47295254,with emails,43277128,with social_profiles,25365399,with jobs,21479638,with educations,8734937,with addresses,50951754,with dobs,42033648,,,,,,,,,,,,,,,,,
,"Names, Addresses, DOB, Phone",14.1586996787%,7649166,,,,,,,,,,,,,jobs,42.1%,PerfectMatch,without phones,3695964,without emails,7714090,without social_profiles,25625819,without jobs,29511580,without educations,42256281,without addresses,39464,without dobs,8957570,,,,,,,,,,,,,,,,,
,"Name, Addresses, DOB",11.9630215886%,6462962,,,,,,,,,,,,,educations,17.1%,PossibleMatch,with phones,448688,with emails,0,with social_profiles,336025,with jobs,269516,with educations,152026,with addresses,480326,with dobs,379022,,,,,,,,,,,,,,,,,
,"Name, Addresses, DOB, Phone",5.93260149864%,3205058,,,,,,,,,,,,,addresses,99.9%,PossibleMatch,without phones,285166,without emails,733854,without social_profiles,397829,without jobs,464338,without educations,581828,without addresses,253528,without dobs,354832,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,dobs,82.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,68.4735026214%,36992464.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1821#OverAll,All,,10956118,NoMatch,26.1%,2824992,,,,,,,,,,phones,94.8%,NoMatch,with phones,111212,with emails,0,with social_profiles,120105,with jobs,96516,with educations,76511,with addresses,121471,with dobs,104999,,,,,,,,,,,,,,,,,
,Phone,54.0057162583%,5916930,SingleMatch,51.1%,5544399,,,,,,,,,,emails,73.9%,NoMatch,without phones,2713780,without emails,2824992,without social_profiles,2704887,without jobs,2728476,without educations,2748481,without addresses,2703521,without dobs,2719993,,,,,,,,,,,,,,,,,
,"Names, Addresses, Emails, Phones",11.5456496544%,1264955,MultipleMatch,22.8%,2472143,,,,,,,,,,social_profiles,47.8%,PerfectMatch,with phones,5254688,with emails,4098309,with social_profiles,2651950,with jobs,2612317,with educations,947173,with addresses,5504261,with dobs,4010716,,,,,,,,,,,,,,,,,
,Email,8.75728063535%,959458,,,,,,,,,,,,,jobs,47.1%,PerfectMatch,without phones,289711,without emails,1446090,without social_profiles,2892449,without jobs,2932082,without educations,4597226,without addresses,40138,without dobs,1533683,,,,,,,,,,,,,,,,,
,"Names, Addresses, Emails, Phone",4.16420305075%,456235,,,,,,,,,,,,,educations,17.1%,PossibleMatch,with phones,2355474,with emails,0,with social_profiles,1322601,with jobs,1132306,with educations,504063,with addresses,2428611,with dobs,1515224,,,,,,,,,,,,,,,,,
,Username,3.46401891619%,379522,,,,,,,,,,,,,addresses,99.3%,PossibleMatch,without phones,116669,without emails,2472143,without social_profiles,1149542,without jobs,1339837,without educations,1968080,without addresses,43532,without dobs,956919,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,dobs,72.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,81.9368685149%,8977100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
539#OverAll,All,,6441832,NoMatch,20.0%,1287166,,,,,,,,,,phones,99.5%,NoMatch,with phones,280,with emails,0,with social_profiles,139,with jobs,91,with educations,58,with addresses,295,with dobs,53,,,,,,,,,,,,,,,,,
,Phone,99.9475615011%,6438454,SingleMatch,53.5%,3447127,,,,,,,,,,emails,27.3%,NoMatch,without phones,1286886,without emails,1287166,without social_profiles,1287027,without jobs,1287075,without educations,1287108,without addresses,1286871,without dobs,1287113,,,,,,,,,,,,,,,,,
,Email,0.0280355029439%,1806,MultipleMatch,26.5%,1706445,,,,,,,,,,social_profiles,30.6%,PerfectMatch,with phones,3430910,with emails,939993,with social_profiles,1053337,with jobs,377989,with educations,165897,with addresses,3421370,with dobs,464051,,,,,,,,,,,,,,,,,
,,0.016982746523%,1094,,,,,,,,,,,,,jobs,11.0%,PerfectMatch,without phones,16217,without emails,2507134,without social_profiles,2393790,without jobs,3069138,without educations,3281230,without addresses,25757,without dobs,2983076,,,,,,,,,,,,,,,,,
,"Name, Email",0.00742024939489%,478,,,,,,,,,,,,,educations,4.8%,PossibleMatch,with phones,1189267,with emails,0,with social_profiles,374302,with jobs,234420,with educations,93730,with addresses,1187608,with dobs,262452,,,,,,,,,,,,,,,,,
,Email,0.000169888539904%,9,,,,,,,,,,,,,addresses,99.3%,PossibleMatch,without phones,517178,without emails,1706445,without social_profiles,1332143,without jobs,1472025,without educations,1612715,without addresses,518837,without dobs,1443993,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,dobs,13.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,100.0%,6441832.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16249#OverAll,All,,2060350,NoMatch,53.5%,1098733,,,,,,,,,,phones,100.0%,NoMatch,with phones,1031,with emails,0,with social_profiles,357,with jobs,333,with educations,161,with addresses,1106,with dobs,947,,,,,,,,,,,,,,,,,
,Phone,99.6354017521%,2052838,SingleMatch,34.1%,700639,,,,,,,,,,emails,34.4%,NoMatch,without phones,1097702,without emails,1098733,without social_profiles,1098376,without jobs,1098400,without educations,1098572,without addresses,1097627,without dobs,1097786,,,,,,,,,,,,,,,,,
,,0.364404106098%,7508,MultipleMatch,12.3%,253470,,,,,,,,,,social_profiles,33.5%,PerfectMatch,with phones,700589,with emails,241285,with social_profiles,234871,with jobs,147494,with educations,67589,with addresses,697834,with dobs,177821,,,,,,,,,,,,,,,,,
,Name,9.70708860145e-05%,2,,,,,,,,,,,,,jobs,21.1%,PerfectMatch,without phones,50,without emails,459354,without social_profiles,465768,without jobs,553145,without educations,633050,without addresses,2805,without dobs,522818,,,,,,,,,,,,,,,,,
,"Name, Address",9.70708860145e-05%,2,,,,,,,,,,,,,educations,9.6%,PossibleMatch,with phones,253463,with emails,0,with social_profiles,132859,with jobs,91263,with educations,46986,with addresses,253296,with dobs,122671,,,,,,,,,,,,,,,,,
,Username,0.000463449155457%,10,,,,,,,,,,,,,addresses,99.6%,PossibleMatch,without phones,7,without emails,253470,without social_profiles,120611,without jobs,162207,without educations,206484,without addresses,174,without dobs,130799,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,dobs,25.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,100.0%,2060350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121651#OverAll,All,,1249677,NoMatch,10.8%,667,,,,,,,,,,phones,90.5%,NoMatch,with phones,566,with emails,0,with social_profiles,589,with jobs,517,with educations,456,with addresses,586,with dobs,492,,,,,,,,,,,,,,,,,
,,99.5044319452%,1243484,SingleMatch,88.1%,5453,,,,,,,,,,emails,91.0%,NoMatch,without phones,101,without emails,667,without social_profiles,78,without jobs,150,without educations,211,without addresses,81,without dobs,175,,,,,,,,,,,,,,,,,
,"Name, Emails, Phones, Jobs",0.141156474833%,1764,MultipleMatch,1.2%,73,,,,,,,,,,social_profiles,82.0%,PerfectMatch,with phones,4936,with emails,4962,with social_profiles,4471,with jobs,3997,with educations,3321,with addresses,5395,with dobs,4074,,,,,,,,,,,,,,,,,
,"Name, Address, Email, Phone",0.0762597055079%,953,,,,,,,,,,,,,jobs,73.3%,PerfectMatch,without phones,517,without emails,491,without social_profiles,982,without jobs,1456,without educations,2132,without addresses,58,without dobs,1379,,,,,,,,,,,,,,,,,
,"Name, Email",0.0304878780677%,381,,,,,,,,,,,,,educations,60.9%,PossibleMatch,with phones,73,with emails,0,with social_profiles,68,with jobs,64,with educations,59,with addresses,73,with dobs,65,,,,,,,,,,,,,,,,,
,"Name, Address, Email, Phone, Educations, Jobs",0.0301677953583%,377,,,,,,,,,,,,,addresses,98.9%,PossibleMatch,without phones,0,without emails,73,without social_profiles,5,without jobs,9,without educations,14,without addresses,0,without dobs,8,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,dobs,74.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,99.782503799%,1246959.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7963#OverAll,All,,1198229,NoMatch,46.4%,556231,,,,,,,,,,phones,96.7%,NoMatch,with phones,0,with emails,0,with social_profiles,0,with jobs,0,with educations,0,with addresses,0,with dobs,0,,,,,,,,,,,,,,,,,
,Phone,99.9984143265%,1198210,SingleMatch,37.7%,451272,,,,,,,,,,emails,32.2%,NoMatch,without phones,556231,without emails,556231,without social_profiles,556231,without jobs,556231,without educations,556231,without addresses,556231,without dobs,556231,,,,,,,,,,,,,,,,,
,,0.00150221702195%,18,MultipleMatch,15.9%,190708,,,,,,,,,,social_profiles,36.7%,PerfectMatch,with phones,436295,with emails,145314,with social_profiles,165523,with jobs,61853,with educations,36940,with addresses,434415,with dobs,102682,,,,,,,,,,,,,,,,,
,Email,8.34565012197e-05%,1,,,,,,,,,,,,,jobs,13.7%,PerfectMatch,without phones,14977,without emails,305958,without social_profiles,285749,without jobs,389419,without educations,414332,without addresses,16857,without dobs,348590,,,,,,,,,,,,,,,,,
,"Name, Address, Email, Phone, Educations, Jobs",0.0619395087172%,834,,,,,,,,,,,,,educations,8.2%,PossibleMatch,with phones,6,with emails,0,with social_profiles,1,with jobs,0,with educations,0,with addresses,6,with dobs,0,,,,,,,,,,,,,,,,,
,"Name, Email",0.0486455374218%,655,,,,,,,,,,,,,addresses,96.3%,PossibleMatch,without phones,190702,without emails,190708,without social_profiles,190707,without jobs,190708,without educations,190708,without addresses,190702,without dobs,190708,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,dobs,22.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,100.0%,1198229.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28485#OverAll,All,,798612,NoMatch,8.8%,70273,,,,,,,,,,phones,93.6%,NoMatch,with phones,0,with emails,0,with social_profiles,0,with jobs,0,with educations,0,with addresses,0,with dobs,0,,,,,,,,,,,,,,,,,
,"Name, Address, Email, Phones",13.1213906127%,104789,SingleMatch,88.3%,705513,,,,,,,,,,emails,90.9%,NoMatch,without phones,70273,without emails,70273,without social_profiles,70273,without jobs,70273,without educations,70273,without addresses,70273,without dobs,70273,,,,,,,,,,,,,,,,,
,"Name, Address, Phone",8.28737860187%,66184,MultipleMatch,2.9%,22813,,,,,,,,,,social_profiles,72.9%,PerfectMatch,with phones,660527,with emails,641243,with social_profiles,513976,with jobs,631820,with educations,418911,with addresses,697568,with dobs,509270,,,,,,,,,,,,,,,,,
,"Name, Address, Email, Phone",7.78162612132%,62145,,,,,,,,,,,,,jobs,89.6%,PerfectMatch,without phones,44986,without emails,64270,without social_profiles,191537,without jobs,73693,without educations,286602,without addresses,7945,without dobs,196243,,,,,,,,,,,,,,,,,
,"Name, Address, Email",7.72577922696%,61699,,,,,,,,,,,,,educations,59.4%,PossibleMatch,with phones,0,with emails,0,with social_profiles,0,with jobs,0,with educations,0,with addresses,0,with dobs,0,,,,,,,,,,,,,,,,,
,"Name, Address",6.72028469394%,53669,,,,,,,,,,,,,addresses,98.9%,PossibleMatch,without phones,22813,without emails,22813,without social_profiles,22813,without jobs,22813,without educations,22813,without addresses,22813,without dobs,22813,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,dobs,72.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,43.6364592568%,348486.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10381#OverAll,All,,635598,NoMatch,13.1%,83329,,,,,,,,,,phones,40.2%,NoMatch,with phones,24803,with emails,0,with social_profiles,28465,with jobs,23795,with educations,20696,with addresses,26899,with dobs,21922,,,,,,,,,,,,,,,,,
,UserID,52.5714366628%,334143,SingleMatch,86.5%,549368,,,,,,,,,,emails,45.4%,NoMatch,without phones,58526,without emails,83329,without social_profiles,54864,without jobs,59534,without educations,62633,without addresses,56430,without dobs,61407,,,,,,,,,,,,,,,,,
,"Emails, UserID",25.8359843801%,164213,MultipleMatch,0.4%,2760,,,,,,,,,,social_profiles,99.2%,PerfectMatch,with phones,221049,with emails,249429,with social_profiles,545208,with jobs,530395,with educations,399958,with addresses,541288,with dobs,124035,,,,,,,,,,,,,,,,,
,Username,12.6402222789%,80341,,,,,,,,,,,,,jobs,96.5%,PerfectMatch,without phones,328319,without emails,299939,without social_profiles,4160,without jobs,18973,without educations,149410,without addresses,8080,without dobs,425333,,,,,,,,,,,,,,,,,
,"Emails, Username",6.53337486902%,41526,,,,,,,,,,,,,educations,72.8%,PossibleMatch,with phones,2598,with emails,0,with social_profiles,2608,with jobs,2617,with educations,2343,with addresses,2754,with dobs,2031,,,,,,,,,,,,,,,,,
,Email,0.753463667287%,4789,,,,,,,,,,,,,addresses,98.5%,PossibleMatch,without phones,162,without emails,2760,without social_profiles,152,without jobs,143,without educations,417,without addresses,6,without dobs,729,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,dobs,22.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,98.334481858%,625012.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2427#OverAll,All,,626952,NoMatch,41.1%,257473,,,,,,,,,,phones,92.0%,NoMatch,with phones,3,with emails,0,with social_profiles,0,with jobs,0,with educations,0,with addresses,3,with dobs,0,,,,,,,,,,,,,,,,,
,Email,58.0690387781%,364065,SingleMatch,46.6%,292133,,,,,,,,,,emails,95.1%,NoMatch,without phones,257470,without emails,257473,without social_profiles,257473,without jobs,257473,without educations,257473,without addresses,257470,without dobs,257473,,,,,,,,,,,,,,,,,
,Phone,25.7450331126%,161409,MultipleMatch,12.3%,76911,,,,,,,,,,social_profiles,68.0%,PerfectMatch,with phones,268735,with emails,277957,with social_profiles,198576,with jobs,144467,with educations,65990,with addresses,286855,with dobs,219404,,,,,,,,,,,,,,,,,
,"Names, Addresses, DOB, Emails, Phones, UserIDs",1.05303117304%,6602,,,,,,,,,,,,,jobs,49.5%,PerfectMatch,without phones,23398,without emails,14176,without social_profiles,93557,without jobs,147666,without educations,226143,without addresses,5278,without dobs,72729,,,,,,,,,,,,,,,,,
,"Names, Addresses, DOB, Emails, Phones, UserID",0.961955620207%,6031,,,,,,,,,,,,,educations,22.6%,PossibleMatch,with phones,61864,with emails,0,with social_profiles,306,with jobs,8438,with educations,456,with addresses,76402,with dobs,25418,,,,,,,,,,,,,,,,,
,"Names, Addresses, DOB, Emails, Phones",0.784111064324%,4916,,,,,,,,,,,,,addresses,98.2%,PossibleMatch,without phones,15047,without emails,76911,without social_profiles,76605,without jobs,68473,without educations,76455,without addresses,509,without dobs,51493,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,dobs,75.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,86.6131697482%,543023.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14563#OverAll,All,,514539,NoMatch,17.8%,91500,,,,,,,,,,phones,53.1%,NoMatch,with phones,0,with emails,0,with social_profiles,0,with jobs,0,with educations,0,with addresses,0,with dobs,0,,,,,,,,,,,,,,,,,
,UserID,54.3719718039%,279765,SingleMatch,79.1%,406738,,,,,,,,,,emails,59.7%,NoMatch,without phones,91500,without emails,91500,without social_profiles,91500,without jobs,91500,without educations,91500,without addresses,91500,without dobs,91500,,,,,,,,,,,,,,,,,
,Username,23.5529279608%,121189,MultipleMatch,3.1%,15763,,,,,,,,,,social_profiles,97.4%,PerfectMatch,with phones,215888,with emails,242908,with social_profiles,396214,with jobs,382803,with educations,308400,with addresses,397687,with dobs,148773,,,,,,,,,,,,,,,,,
,Email,21.3546495018%,109878,,,,,,,,,,,,,jobs,94.1%,PerfectMatch,without phones,190850,without emails,163830,without social_profiles,10524,without jobs,23935,without educations,98338,without addresses,9051,without dobs,257965,,,,,,,,,,,,,,,,,
,,0.1045596155%,538,,,,,,,,,,,,,educations,75.8%,PossibleMatch,with phones,13090,with emails,0,with social_profiles,12063,with jobs,10624,with educations,7509,with addresses,15579,with dobs,9131,,,,,,,,,,,,,,,,,
,"Name, Address, Email, Phone",0.0250709858728%,129,,,,,,,,,,,,,addresses,97.8%,PossibleMatch,without phones,2673,without emails,15763,without social_profiles,3700,without jobs,5139,without educations,8254,without addresses,184,without dobs,6632,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,dobs,36.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
