From,2021-01-01 19:11:12.994378,To,2021-02-01 19:11:12.994417,Match_type,Match Rate,Count per match_type,filters,MatchRequirement Ratio,Count,MatchRequirements,Top 5 MatchRequirement,Count per MatchRequirements,APIMinimumMatch,MinimumMatch breakdown,Count per MinimumMatch,Fields,Fill Rate,match_type.,filters,Count,filters,Count,filters,Count,filters,Count,,,,,,,,,,,,,,,,,,,,,,,
5753#OverAll,All,,89297090,NoMatch,4.3%,3811434,,,,,,,,,,phones,92.6%,NoMatch,with phones,1864032,with emails,0,with social_profiles,1431906,with jobs,1033252,with educations,579136,with addresses,2274895,with dobs,936327,,,,,,,,,,,,,,,,,
,"Names, Addresses, DOB, Phones",19.5563517243%,17463253,SingleMatch,94.4%,84275459,,,,,,,,,,emails,84.2%,NoMatch,without phones,1947402,without emails,3811434,without social_profiles,2379528,without jobs,2778182,without educations,3232298,without addresses,1536539,without dobs,2875107,,,,,,,,,,,,,,,,,
,"Names, Addresses, DOB",17.5081920363%,15634306,MultipleMatch,1.3%,1167526,,,,,,,,,,social_profiles,50.0%,PerfectMatch,with phones,78012826,with emails,71001395,with social_profiles,42173993,with jobs,35313926,with educations,14877257,with addresses,84199697,with dobs,70323695,,,,,,,,,,,,,,,,,
,"Names, Addresses, DOB, Phone",13.9971940855%,12499087,,,,,,,,,,,,,jobs,41.9%,PerfectMatch,without phones,6262633,without emails,13274064,without social_profiles,42101466,without jobs,48961533,without educations,69398202,without addresses,75762,without dobs,13951764,,,,,,,,,,,,,,,,,
,"Name, Addresses, DOB",12.6853797811%,11327675,,,,,,,,,,,,,educations,17.7%,PossibleMatch,with phones,713073,with emails,0,with social_profiles,529943,with jobs,421519,with educations,238606,with addresses,766716,with dobs,609482,,,,,,,,,,,,,,,,,
,"Name, Addresses, DOB, Phone",6.10126712976%,5448254,,,,,,,,,,,,,addresses,99.9%,PossibleMatch,without phones,454453,without emails,1167526,without social_profiles,637583,without jobs,746007,without educations,928920,without addresses,400810,without dobs,558044,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,dobs,83.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,69.848384757%,62372575.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1821#OverAll,All,,16343633,NoMatch,28.3%,4566173,,,,,,,,,,phones,95.0%,NoMatch,with phones,137172,with emails,0,with social_profiles,153295,with jobs,120060,with educations,95416,with addresses,150481,with dobs,130809,,,,,,,,,,,,,,,,,
,Phone,59.6426877672%,9747782,SingleMatch,48.6%,7837528,,,,,,,,,,emails,71.4%,NoMatch,without phones,4429001,without emails,4566173,without social_profiles,4412878,without jobs,4446113,without educations,4470757,without addresses,4415692,without dobs,4435364,,,,,,,,,,,,,,,,,
,"Names, Addresses, Emails, Phones",10.0705883447%,1645900,MultipleMatch,23.1%,3727832,,,,,,,,,,social_profiles,47.4%,PerfectMatch,with phones,7449499,with emails,5598151,with social_profiles,3714165,with jobs,3746903,with educations,1377215,with addresses,7771301,with dobs,5502081,,,,,,,,,,,,,,,,,
,Email,7.49163909885%,1224406,,,,,,,,,,,,,jobs,47.8%,PerfectMatch,without phones,388029,without emails,2239377,without social_profiles,4123363,without jobs,4090625,without educations,6460313,without addresses,66227,without dobs,2335447,,,,,,,,,,,,,,,,,
,"Names, Addresses, Emails, Phone",3.71244263745%,606748,,,,,,,,,,,,,educations,17.6%,PossibleMatch,with phones,3519592,with emails,0,with social_profiles,1906288,with jobs,1625031,with educations,715425,with addresses,3620198,with dobs,2245749,,,,,,,,,,,,,,,,,
,Username,2.98354717094%,487620,,,,,,,,,,,,,addresses,99.2%,PossibleMatch,without phones,208240,without emails,3727832,without social_profiles,1821544,without jobs,2102801,without educations,3012407,without addresses,107634,without dobs,1482083,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,dobs,70.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
