From,2020-03-01 17:30:08.409999,To,2020-04-01 17:30:08.410036,Match_type,Match Rate,Count per match_type,filters,MatchRequirement Ratio,Count,MatchRequirements,Top 5 MatchRequirement,Count per MatchRequirements,APIMinimumMatch,MinimumMatch breakdown,Count per MinimumMatch,Fields,Fill Rate,match_type.,filters,Count,filters,Count,filters,Count,filters,Count,,,,,,,,,,,,,,,,,,,,,,,
5753#OverAll,All,,47505715,NoMatch,7.2%,3389158,,,,,,,,,,phones,91.7%,NoMatch,with phones,1634242,with emails,0,with social_profiles,976443,with jobs,710875,with educations,320494,with addresses,1991042,with dobs,469604,,,,,,,,,,,,,,,,,
,"Names, Addresses, DOB, Phones",16.5818259971%,7877315,SingleMatch,91.5%,42872485,,,,,,,,,,emails,85.0%,NoMatch,without phones,1754916,without emails,3389158,without social_profiles,2412715,without jobs,2678283,without educations,3068664,without addresses,1398116,without dobs,2919554,,,,,,,,,,,,,,,,,
,"Names, Addresses, DOB",14.7691514589%,7016191,MultipleMatch,1.3%,616590,,,,,,,,,,social_profiles,45.3%,PerfectMatch,with phones,39321104,with emails,36448437,with social_profiles,19400343,with jobs,16621052,with educations,6589064,with addresses,42812477,with dobs,28494003,,,,,,,,,,,,,,,,,
,"Names, Addresses, DOB, Phone",12.4256881514%,5902912,,,,,,,,,,,,,jobs,38.8%,PerfectMatch,without phones,3551381,without emails,6424048,without social_profiles,23472142,without jobs,26251433,without educations,36283421,without addresses,60008,without dobs,14378482,,,,,,,,,,,,,,,,,
,"Name, Addresses, DOB",11.3507795852%,5392269,,,,,,,,,,,,,educations,15.4%,PossibleMatch,with phones,388768,with emails,0,with social_profiles,259773,with jobs,205226,with educations,103242,with addresses,422750,with dobs,273007,,,,,,,,,,,,,,,,,
,"Name, Addresses, DOB, Phone",6.92886950549%,3291609,,,,,,,,,,,,,addresses,99.9%,PossibleMatch,without phones,227822,without emails,616590,without social_profiles,356817,without jobs,411364,without educations,513348,without addresses,193840,without dobs,343583,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,dobs,66.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,62.0563146981%,29480296.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1821#OverAll,All,,9307803,NoMatch,26.8%,2467511,,,,,,,,,,phones,84.5%,NoMatch,with phones,148303,with emails,0,with social_profiles,139628,with jobs,114475,with educations,84159,with addresses,187669,with dobs,139148,,,,,,,,,,,,,,,,,
,Phone,42.0722591572%,3916003,SingleMatch,56.7%,5218166,,,,,,,,,,emails,72.5%,NoMatch,without phones,2319208,without emails,2467511,without social_profiles,2327883,without jobs,2353036,without educations,2383352,without addresses,2279842,without dobs,2328363,,,,,,,,,,,,,,,,,
,"Names, Addresses, Emails, Phones",10.8571270793%,1010560,MultipleMatch,16.5%,1524041,,,,,,,,,,social_profiles,38.1%,PerfectMatch,with phones,4409870,with emails,3784773,with social_profiles,1990413,with jobs,1972932,with educations,678998,with addresses,5181499,with dobs,3619162,,,,,,,,,,,,,,,,,
