From,2020-09-01 18:58:47.477683,To,2020-10-01 18:58:47.477720,Match_type,Match Rate,Count per match_type,filters,MatchRequirement Ratio,Count,MatchRequirements,Top 5 MatchRequirement,Count per MatchRequirements,APIMinimumMatch,MinimumMatch breakdown,Count per MinimumMatch,Fields,Fill Rate,match_type.,filters,Count,filters,Count,filters,Count,filters,Count,,,,,,,,,,,,,,,,,,,,,,,
5753#OverAll,All,,53136159,NoMatch,4.3%,2307593,,,,,,,,,,phones,92.6%,NoMatch,with phones,986603,with emails,0,with social_profiles,715116,with jobs,480155,with educations,230737,with addresses,1236260,with dobs,398342,,,,,,,,,,,,,,,,,
,"Names, Addresses, DOB, Phones",19.7326701766%,10485183,SingleMatch,94.1%,50025604,,,,,,,,,,emails,84.4%,NoMatch,without phones,1320990,without emails,2307593,without social_profiles,1592477,without jobs,1827438,without educations,2076856,without addresses,1071333,without dobs,1909251,,,,,,,,,,,,,,,,,
,"Names, Addresses, DOB",16.817546033%,8936198,MultipleMatch,1.5%,802426,,,,,,,,,,social_profiles,47.9%,PerfectMatch,with phones,46311206,with emails,42240909,with social_profiles,23976452,with jobs,20268027,with educations,7880916,with addresses,49985873,with dobs,40972430,,,,,,,,,,,,,,,,,
,"Names, Addresses, DOB, Phone",14.2752696897%,7585330,,,,,,,,,,,,,jobs,40.5%,PerfectMatch,without phones,3714398,without emails,7784695,without social_profiles,26049152,without jobs,29757577,without educations,42144688,without addresses,39731,without dobs,9053174,,,,,,,,,,,,,,,,,
,"Name, Addresses, DOB",11.4034851484%,6059374,,,,,,,,,,,,,educations,15.8%,PossibleMatch,with phones,427949,with emails,0,with social_profiles,295773,with jobs,227662,with educations,111645,with addresses,465781,with dobs,345730,,,,,,,,,,,,,,,,,
,"Name, Addresses, DOB, Phone",5.50039380904%,2922698,,,,,,,,,,,,,addresses,99.9%,PossibleMatch,without phones,374477,without emails,802426,without social_profiles,506653,without jobs,574764,without educations,690781,without addresses,336645,without dobs,456696,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,dobs,81.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,67.7293648568%,35988783.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1821#OverAll,All,,13816169,NoMatch,29.3%,4011367,,,,,,,,,,phones,95.4%,NoMatch,with phones,118870,with emails,0,with social_profiles,127678,with jobs,102802,with educations,81397,with addresses,130898,with dobs,112645,,,,,,,,,,,,,,,,,
,Phone,62.5481130116%,8641753,SingleMatch,47.3%,6482033,,,,,,,,,,emails,69.7%,NoMatch,without phones,3892497,without emails,4011367,without social_profiles,3883689,without jobs,3908565,without educations,3929970,without addresses,3880469,without dobs,3898722,,,,,,,,,,,,,,,,,
,"Names, Addresses, Emails, Phones",9.51383845985%,1314448,MultipleMatch,23.4%,3198057,,,,,,,,,,social_profiles,43.5%,PerfectMatch,with phones,6186448,with emails,4519572,with social_profiles,2821240,with jobs,2979360,with educations,948903,with addresses,6440727,with dobs,4404393,,,,,,,,,,,,,,,,,
,Email,6.75078598127%,932700,,,,,,,,,,,,,jobs,46.0%,PerfectMatch,without phones,295585,without emails,1962461,without social_profiles,3660793,without jobs,3502673,without educations,5533130,without addresses,41306,without dobs,2077640,,,,,,,,,,,,,,,,,
,"Names, Addresses, Emails, Phone",3.43362186725%,474395,,,,,,,,,,,,,educations,14.6%,PossibleMatch,with phones,3085433,with emails,0,with social_profiles,1668163,with jobs,1456748,with educations,631346,with addresses,3152413,with dobs,1967467,,,,,,,,,,,,,,,,,
,Username,2.48492907115%,343322,,,,,,,,,,,,,addresses,99.4%,PossibleMatch,without phones,112624,without emails,3198057,without social_profiles,1529894,without jobs,1741309,without educations,2566711,without addresses,45644,without dobs,1230590,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,dobs,67.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,84.7312883912%,11706618.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
539#OverAll,All,,6175539,NoMatch,15.1%,934288,,,,,,,,,,phones,99.5%,NoMatch,with phones,534,with emails,0,with social_profiles,171,with jobs,96,with educations,48,with addresses,555,with dobs,61,,,,,,,,,,,,,,,,,
,Phone,99.9014498977%,6169453,SingleMatch,56.0%,3457212,,,,,,,,,,emails,29.7%,NoMatch,without phones,933754,without emails,934288,without social_profiles,934117,without jobs,934192,without educations,934240,without addresses,933733,without dobs,934227,,,,,,,,,,,,,,,,,
,,0.0640267999279%,3954,MultipleMatch,28.8%,1780085,,,,,,,,,,social_profiles,33.0%,PerfectMatch,with phones,3440270,with emails,1027598,with social_profiles,1141208,with jobs,380428,with educations,162301,with addresses,3431698,with dobs,490523,,,,,,,,,,,,,,,,,
,Email,0.0280623278389%,1733,,,,,,,,,,,,,jobs,11.0%,PerfectMatch,without phones,16942,without emails,2429614,without social_profiles,2316004,without jobs,3076784,without educations,3294911,without addresses,25514,without dobs,2966689,,,,,,,,,,,,,,,,,
,"Name, Email",0.00646097449955%,399,,,,,,,,,,,,,educations,4.7%,PossibleMatch,with phones,1205507,with emails,0,with social_profiles,398282,with jobs,246515,with educations,97833,with addresses,1204062,with dobs,273934,,,,,,,,,,,,,,,,,
,Email,0.000169888539904%,9,,,,,,,,,,,,,addresses,99.3%,PossibleMatch,without phones,574578,without emails,1780085,without social_profiles,1381803,without jobs,1533570,without educations,1682252,without addresses,576023,without dobs,1506151,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,dobs,14.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,100.0%,6175539.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7963#OverAll,All,,3615981,NoMatch,43.4%,1568234,,,,,,,,,,phones,96.5%,NoMatch,with phones,0,with emails,0,with social_profiles,0,with jobs,0,with educations,0,with addresses,0,with dobs,0,,,,,,,,,,,,,,,,,
,Phone,99.9994745548%,3615962,SingleMatch,43.3%,1565791,,,,,,,,,,emails,37.9%,NoMatch,without phones,1568234,without emails,1568234,without social_profiles,1568234,without jobs,1568234,without educations,1568234,without addresses,1568234,without dobs,1568234,,,,,,,,,,,,,,,,,
,,0.000525445238789%,19,MultipleMatch,13.3%,481937,,,,,,,,,,social_profiles,44.7%,PerfectMatch,with phones,1510225,with emails,592721,with social_profiles,699902,with jobs,294868,with educations,189739,with addresses,1506121,with dobs,316267,,,,,,,,,,,,,,,,,
,Email,0.0300714861137%,1224,,,,,,,,,,,,,jobs,18.8%,PerfectMatch,without phones,55566,without emails,973070,without social_profiles,865889,without jobs,1270923,without educations,1376052,without addresses,59670,without dobs,1249524,,,,,,,,,,,,,,,,,
,"Name, Email",0.007984667473%,325,,,,,,,,,,,,,educations,12.1%,PossibleMatch,with phones,67,with emails,0,with social_profiles,31,with jobs,34,with educations,13,with addresses,67,with dobs,10,,,,,,,,,,,,,,,,,
,Name,0.000171977453265%,7,,,,,,,,,,,,,addresses,96.2%,PossibleMatch,without phones,481870,without emails,481937,without social_profiles,481906,without jobs,481903,without educations,481924,without addresses,481870,without dobs,481927,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,dobs,20.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,100.0%,3615981.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1583510#OverAll,All,,2934327,NoMatch,4.9%,142425,,,,,,,,,,phones,100.0%,NoMatch,with phones,44,with emails,0,with social_profiles,52,with jobs,32,with educations,27,with addresses,54,with dobs,30,,,,,,,,,,,,,,,,,
,Phone,99.4393603712%,2917876,SingleMatch,86.1%,2511352,,,,,,,,,,emails,13.9%,NoMatch,without phones,142381,without emails,142425,without social_profiles,142373,without jobs,142393,without educations,142398,without addresses,142371,without dobs,142395,,,,,,,,,,,,,,,,,
,,0.555732200263%,16307,MultipleMatch,9.1%,264243,,,,,,,,,,social_profiles,12.9%,PerfectMatch,with phones,2511168,with emails,348845,with social_profiles,324207,with jobs,121179,with educations,67780,with addresses,2511176,with dobs,134308,,,,,,,,,,,,,,,,,
,Username,0.00184028569413%,54,,,,,,,,,,,,,jobs,4.8%,PerfectMatch,without phones,184,without emails,2162507,without social_profiles,2187145,without jobs,2390173,without educations,2443572,without addresses,176,without dobs,2377044,,,,,,,,,,,,,,,,,
,Email,0.00156765077648%,46,,,,,,,,,,,,,educations,2.7%,PossibleMatch,with phones,264213,with emails,0,with social_profiles,63977,with jobs,31122,with educations,16116,with addresses,264215,with dobs,30684,,,,,,,,,,,,,,,,,
,UserID,0.000920142847065%,27,,,,,,,,,,,,,addresses,100.0%,PossibleMatch,without phones,30,without emails,264243,without social_profiles,200266,without jobs,233121,without educations,248127,without addresses,28,without dobs,233559,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,dobs,5.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,99.9994206508%,2934310.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16249#OverAll,All,,1393383,NoMatch,51.9%,720187,,,,,,,,,,phones,100.0%,NoMatch,with phones,723,with emails,0,with social_profiles,235,with jobs,232,with educations,116,with addresses,755,with dobs,651,,,,,,,,,,,,,,,,,
,Phone,99.5389638025%,1386959,SingleMatch,34.8%,482824,,,,,,,,,,emails,37.1%,NoMatch,without phones,719464,without emails,720187,without social_profiles,719952,without jobs,719955,without educations,720071,without addresses,719432,without dobs,719536,,,,,,,,,,,,,,,,,
,,0.461036197514%,6424,MultipleMatch,13.3%,183948,,,,,,,,,,social_profiles,37.2%,PerfectMatch,with phones,482784,with emails,179283,with social_profiles,179672,with jobs,109817,with educations,52065,with addresses,480581,with dobs,131349,,,,,,,,,,,,,,,,,
,"Name, Address, Email, Phone, Education, Jobs",0.0681780203866%,918,,,,,,,,,,,,,jobs,22.7%,PerfectMatch,without phones,40,without emails,303541,without social_profiles,303152,without jobs,373007,without educations,430759,without addresses,2243,without dobs,351475,,,,,,,,,,,,,,,,,
,"Name, Address, Email, Phone, Educations, Jobs",0.0619395087172%,834,,,,,,,,,,,,,educations,10.8%,PossibleMatch,with phones,183945,with emails,0,with social_profiles,97659,with jobs,67213,with educations,35060,with addresses,183759,with dobs,90558,,,,,,,,,,,,,,,,,
,"Name, Email",0.0486455374218%,655,,,,,,,,,,,,,addresses,99.5%,PossibleMatch,without phones,3,without emails,183948,without social_profiles,86289,without jobs,116735,without educations,148888,without addresses,189,without dobs,93390,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,dobs,27.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
